"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"924","4444","Global","Fruits","CIRUELAS","Asignado por la cadena","Todos los tamaños","","","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"925","4445","Global","Fruits","GRANADA","","Pequeño","42 size and smaller","Average Fruit Dimensions = less than 3 inch","","Punica granatum","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"1440","4446","Global","Fruits","GRANADA","Asignado por la cadena","Todos los tamaños","","","","Punica granatum","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"926","4447","Global","Fruits","MEMBRILLO","","Todos los tamaños","","","","Cydonia oblonga","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"927","4448","Global","Fruits","TAMARINDO","","Todos los tamaños","","","","Tamarindus indica","","Approved","","","Wendy Logan","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"928","4449","Global","Fruits","MANDARINA","Sunburst","Todos los tamaños","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"929","4450","Global","Fruits","MANDARINA","Clementine (Incluidos Fortune)","Todos los tamaños","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"930","4451","Global","Fruits","MANDARINA","Dancy","Todos los tamaños","","","","Citrus reticulata","","Approved","","","Christina D'allarco","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"931","4452","Global","Fruits","MANDARINA","Fairchild","Todos los tamaños","","","","Citrus spp.","","Approved","","","Christina D'allarco","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"932","4453","Global","Fruits","MANDARINA","Honey/Murcott","Todos los tamaños","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"933","4454","Global","Fruits","MANDARINA","Kinnow","Todos los tamaños","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
"934","4455","Global","Fruits","MANDARINA","Myarin/Royal","Todos los tamaños","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:29","0000-00-00 00:00:00","","SP"
